20     .22670 121.12225 121.00872 120.8957
21     .19394 121.16586 121.14696 121.1342
22     .87849 125.85603 125.83898 125.8318
23     .38043 126.34083 126.29642 126.2471
24     .45319 107.47811 107.50453 107.5322
25     .52133 109.53055 109.53959 109.5479
26     .74192 125.62778 125.50711 125.3912
27     .46961 124.62256 124.77629 124.9203
28     .36582 109.37046 109.37622 109.3832
29     .98647 125.90758 125.82924 125.7525
30     .91796 124.05207 124.18658 124.3144
31     .76902 106.74604 106.72147 106.6971
32     .72753 131.74258 131.75911 131.7773
33     .49593 121.50408 121.51234 121.5186
34     .56675 113.54859 113.52523 113.4958
35     .85362 106.84887 106.85235 106.8500
36     .65951 106.59356 106.52103 106.4592
37     .57466 110.62819 110.68760 110.7507
38     .01718 111.01692 111.00897 110.9990
39     .89098 107.92539 107.96566 108.0052
40     .85975 106.83937 106.81851 106.7965
41     .76738 131.78834 131.80908 131.8281
42     .35937 121.35873 121.35900 121.3622
43     .61429 113.59863 113.57710 113.5513
44     .84204 106.79445 106.74834 106.7057
45     .89540 106.89757 106.89486 106.8840
46     .87206 110.85517 110.84444 110.8401
47     .47340 110.51938 110.56889 110.6246
48     .87744 107.90990 107.94159 107.9686
49     .73570 121.73228 121.72933 121.7272
50     .10709 117.09402 117.08056 117.0667
51     .15696 121.17346 121.18988 121.2058
52     .33553 109.34312 109.35329 109.3597
53     .76515 111.76159 111.75969 111.7589
54     .33246 111.27814 111.21960 111.1596
55     .09661 108.10497 108.11335 108.1229
56     .04565 108.04322 108.04100 108.0395
57     .14070 108.18690 108.23286 108.2808
58     .77915 121.77782 121.77597 121.7729
59     .14214 117.13046 117.11797 117.1041
60     .07863 121.09166 121.10601 121.1229
61     .43011 111.37898 111.32461 111.2651
