     7   -6.066799   -1.646632    1.464573
     6   -5.487681   -0.887419    0.790221
     6   -4.737988    0.010983   -0.009829
     6   -3.321533   -0.038423   -0.023317
     6   -5.438614    0.961623   -0.793817
     6   -2.544887    0.862074   -0.821018
     6   -2.591481   -0.982138    0.767219
     7   -5.976172    1.762094   -1.454765
     1   -3.063041    1.586997   -1.440107
     6   -1.172261    0.822397   -0.823901
     1   -3.143118   -1.656014    1.414267
     6   -1.219395   -1.034161    0.741302
     1   -0.624388    1.514571   -1.457650
     6   -0.455738   -0.159122   -0.082198
     1   -0.706625   -1.743227    1.386373
     6    0.979412   -0.099946    0.024573
     7    1.854051   -1.059254   -0.405180
     7    1.716831    0.987884    0.404880
     6    3.160141   -0.605637   -0.244886
     6    1.475616   -2.336787   -1.020828
     6    3.073112    0.702882    0.258478
     6    1.186193    2.201685    1.042788
     6    4.391824   -1.205381   -0.508504
     6    1.612792   -3.531477   -0.077025
     1    2.110183   -2.463695   -1.903876
     1    0.443983   -2.222306   -1.359388
     1    1.344702   -4.447834   -0.610602
     1    2.636113   -3.640217    0.293206
     1    0.945203   -3.432704    0.782252
     6    4.217023    1.451436    0.537427
     6    1.252419    3.439636    0.148438
     1    0.155824    1.981657    1.325315
     1    1.763050    2.356426    1.960888
     1    0.627719    3.319510   -0.739259
     1    2.274095    3.654193   -0.176687
     1    0.884831    4.305836    0.705935
     1    4.462656   -2.213171   -0.901560
     6    5.534011   -0.452176   -0.240821
     1    4.157445    2.457840    0.935330
     6    5.448068    0.849334    0.280431
     1    6.510271   -0.883599   -0.435337
     1    6.359511    1.400806    0.485939
