-1235.483248   -1235.481328
-1235.497680   -1235.495284
-1235.513492   -1235.510630
-1235.530634   -1235.527313
-1235.549064   -1235.545290
-1235.568742   -1235.564517
-1235.480982   -1235.480772
-1235.494737   -1235.494396
-1235.509870   -1235.509411
-1235.526335   -1235.525763
-1235.544088   -1235.543408
-1235.563090   -1235.562305
-1235.483150   -1235.483110
-1235.496699   -1235.496565
-1235.511622   -1235.511404
-1235.527871   -1235.527577
-1235.545407   -1235.545040
-1235.564188   -1235.563752
-1235.480215   -1235.480012
-1235.493959   -1235.493626
-1235.509080   -1235.508630
-1235.525532   -1235.524971
-1235.543273   -1235.542605
-1235.562262   -1235.561491
-1483.139884   -1483.140450
-1483.154545   -1483.155123
-1483.170733   -1483.171336
-1483.188398   -1483.189033
-1483.207495   -1483.208168
-1483.227979   -1483.228693
-1483.136868   -1483.137372
-1483.151538   -1483.152042
-1483.167734   -1483.168250
-1483.185405   -1483.185942
-1483.204507   -1483.205069
-1483.224996   -1483.225587
-1483.140138   -1483.140713
-1483.154798   -1483.155386
-1483.170984   -1483.171599
-1483.188647   -1483.189296
-1483.207742   -1483.208430
-1483.228225   -1483.228956
-1483.136078   -1483.136589
-1483.150741   -1483.151253
-1483.166930   -1483.167456
-1483.184594   -1483.185141
-1483.203689   -1483.204262
-1483.224170   -1483.224774
-1294.642249   -1294.639880
-1294.657063   -1294.654126
-1294.673298   -1294.669804
-1294.690905   -1294.686860
-1294.709840   -1294.705251
-1294.730063   -1294.724932
-1294.640276   -1294.637733
-1294.655135   -1294.651988
-1294.671414   -1294.667675
-1294.689064   -1294.684740
-1294.708042   -1294.703138
-1294.728308   -1294.722827
-1294.642414   -1294.640068
-1294.657223   -1294.654313
-1294.673454   -1294.669990
-1294.691056   -1294.687046
-1294.709986   -1294.705436
-1294.730204   -1294.725118
-1294.639746   -1294.637213
-1294.654608   -1294.651472
-1294.670889   -1294.667163
-1294.688541   -1294.684231
-1294.707521   -1294.702633
-1294.727788   -1294.722325
-1313.792956   -1313.792817
-1313.807109   -1313.806848
-1313.822727   -1313.822355
-1313.839770   -1313.839295
-1313.858204   -1313.857630
-1313.877990   -1313.877321
-1313.789713   -1313.789631
-1313.803820   -1313.803629
-1313.819392   -1313.819103
-1313.836389   -1313.836008
-1313.854775   -1313.854307
-1313.874513   -1313.873962
-1313.793202   -1313.793076
-1313.807353   -1313.807108
-1313.822969   -1313.822616
-1313.840011   -1313.839557
-1313.858442   -1313.857892
-1313.878226   -1313.877584
-1313.788964   -1313.788875
-1313.803068   -1313.802868
-1313.818636   -1313.818335
-1313.835628   -1313.835235
-1313.854009   -1313.853528
-1313.873742   -1313.873177
-1729.772789   -1729.771822
-1729.791393   -1729.790086
-1729.811980   -1729.810351
-1729.834477   -1729.832537
-1729.858817   -1729.856574
-1729.884940   -1729.882399
-1729.768772   -1729.767957
-1729.787247   -1729.786124
-1729.807702   -1729.806288
-1729.830064   -1729.828371
-1729.854268   -1729.852303
-1729.880252   -1729.878021
-1729.773224   -1729.772184
-1729.791853   -1729.790457
-1729.812465   -1729.810733
-1729.834987   -1729.832929
-1729.859354   -1729.856978
-1729.885502   -1729.882814
-1729.767581   -1729.766987
-1729.785984   -1729.785127
-1729.806367   -1729.805263
-1729.828655   -1729.827316
-1729.852785   -1729.851219
-1729.878694   -1729.876906
-2472.751731   -2472.750927
-2472.773337   -2472.772189
-2472.797392   -2472.795923
-2472.823809   -2472.822034
