CBZ_acet  |  ACR_acet  |  CBZ_one_ACR_acet
TMP_acet  |  MAA_dime  |  CBZ_two_IA_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_IA_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_IA_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_IA_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_IA_dimet
TMP_acet  |  MAA_dime  |  CBZ_two_IA_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_IA_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_IA_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_IA_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_IA_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_IA_tetra
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_acet
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dich
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dich
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dich
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dich
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dich
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dich
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dime
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dime
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dime
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dime
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dime
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_dime
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_tetr
TMP_acet  |  MAA_dime  |  CBZ_two_MAA_tetr
